Simulation_Number,T0,T1,Percentage_Change,Class
231,1,1.006895223,0.0069,Volatility
232,1,1.003879007,0.0039,Volatility
233,1,1.016030167,0.016,Volatility
234,1,1.00314665,0.0031,Volatility
235,1,0.995146001,-0.0049,Volatility
236,1,0.995879473,-0.0041,Volatility
237,1,0.980487422,-0.0195,Volatility
238,1,1.026395312,0.0264,Volatility
239,1,0.98096377,-0.019,Volatility
240,1,1.003263043,0.0033,Volatility
241,1,1.006892119,0.0069,Volatility
242,1,1.010513725,0.0105,Volatility
243,1,0.98738595,-0.0126,Volatility
244,1,1.010058554,0.0101,Volatility
245,1,1.016096195,0.0161,Volatility
246,1,0.983533839,-0.0165,Volatility
247,1,1.001574026,0.0016,Volatility
248,1,1.012906454,0.0129,Volatility
249,1,1.004241138,0.0042,Volatility
250,1,1.008910621,0.0089,Volatility
251,1,1.010227269,0.0102,Volatility
252,1,1.012679629,0.0127,Volatility
253,1,0.986576513,-0.0134,Volatility
254,1,0.998003467,-0.002,Volatility
255,1,0.991827919,-0.0082,Volatility
256,1,0.988607787,-0.0114,Volatility
257,1,1.010274174,0.0103,Volatility
258,1,0.995506253,-0.0045,Volatility
259,1,0.999157292,-0.0008,Volatility
260,1,0.997663864,-0.0023,Volatility
261,1,1.027140443,0.0271,Volatility
262,1,1.00051327,0.0005,Volatility
263,1,0.99568687,-0.0043,Volatility
264,1,0.991761072,-0.0082,Volatility
265,1,1.012851772,0.0129,Volatility
266,1,1.00735098,0.0074,Volatility
267,1,0.999851157,-0.0001,Volatility
268,1,1.001917641,0.0019,Volatility
269,1,0.99934851,-0.0007,Volatility
270,1,1.012059869,0.0121,Volatility
271,1,1.012858321,0.0129,Volatility
272,1,0.983687887,-0.0163,Volatility
273,1,1.007838643,0.0078,Volatility
274,1,1.011690683,0.0117,Volatility
275,1,0.999863023,-0.0001,Volatility
276,1,1.006141011,0.0061,Volatility
277,1,1.008358883,0.0084,Volatility
278,1,1.018709974,0.0187,Volatility
279,1,0.999584194,-0.0004,Volatility
280,1,0.994841734,-0.0052,Volatility
281,1,0.995139827,-0.0049,Volatility
282,1,1.004454958,0.0045,Volatility
283,1,0.99171624,-0.0083,Volatility
284,1,1.016864767,0.0169,Volatility
285,1,0.993634703,-0.0064,Volatility
286,1,0.992393885,-0.0076,Volatility
287,1,0.983348374,-0.0167,Volatility
288,1,1.00602526,0.006,Volatility
289,1,1.001774754,0.0018,Volatility
290,1,1.010991891,0.011,Volatility
291,1,1.004276255,0.0043,Volatility
292,1,0.998647211,-0.0014,Volatility
293,1,1.010389092,0.0104,Volatility
294,1,1.015241371,0.0152,Volatility
295,1,0.982693648,-0.0173,Volatility
296,1,0.995806553,-0.0042,Volatility
297,1,1.014553626,0.0146,Volatility
298,1,0.971152929,-0.0288,Volatility
299,1,1.002700354,0.0027,Volatility
300,1,0.985381487,-0.0146,Volatility
301,1,0.998135837,-0.0019,Volatility
302,1,1.004926071,0.0049,Volatility
303,1,0.998027657,-0.002,Volatility
304,1,1.022288315,0.0223,Volatility
305,1,0.99346007,-0.0065,Volatility
306,1,1.01173476,0.0117,Volatility
307,1,0.994376576,-0.0056,Volatility
308,1,1.004526537,0.0045,Volatility
309,1,0.989259283,-0.0107,Volatility
310,1,1.004221587,0.0042,Volatility
311,1,1.004361325,0.0044,Volatility
312,1,1.005425867,0.0054,Volatility
313,1,1.010902982,0.0109,Volatility
314,1,1.006057272,0.0061,Volatility
315,1,0.976394014,-0.0236,Volatility
316,1,1.003251657,0.0033,Volatility
317,1,0.998172712,-0.0018,Volatility
318,1,1.012991705,0.013,Volatility
319,1,0.99952413,-0.0005,Volatility
320,1,0.9939373,-0.0061,Volatility
321,1,1.018727147,0.0187,Volatility
322,1,0.973141862,-0.0269,Volatility
323,1,0.993991096,-0.006,Volatility
324,1,0.990211814,-0.0098,Volatility
325,1,1.028338718,0.0283,Volatility
326,1,0.995041727,-0.005,Volatility
327,1,1.011339945,0.0113,Volatility
328,1,0.999516989,-0.0005,Volatility
329,1,0.99956733,-0.0004,Volatility
330,1,1.011689074,0.0117,Volatility
331,1,0.985356167,-0.0146,Volatility
332,1,0.995895237,-0.0041,Volatility
333,1,0.989159358,-0.0108,Volatility
334,1,1.022570137,0.0226,Volatility
