Date,Trading_Hrs_Return,Total_Return,Difference,Class_,New_Date
29/06/2020,6.9861,4.2164,-2.7697,American_Airlines,2020-06-29
30/06/2020,0.5374,2.9008,2.3634,American_Airlines,2020-06-30
01/07/2020,-4.0702,-0.9644,3.1058,American_Airlines,2020-07-01
02/07/2020,-5.6955,-6.6292,-0.9337,American_Airlines,2020-07-02
03/07/2020,1,2.6875,1.6875,American_Airlines,2020-07-03
06/07/2020,0.9219,-2.2656,-3.1875,American_Airlines,2020-07-06
07/07/2020,-3.6423,-7.2742,-3.6319,American_Airlines,2020-07-07
08/07/2020,4.3957,2.931,-1.4647,American_Airlines,2020-07-08
09/07/2020,-5.4711,-7.1608,-1.6897,American_Airlines,2020-07-09
10/07/2020,8.608,10.6901,2.0821,American_Airlines,2020-07-10
13/07/2020,-4.227,-7.7425,-3.5155,American_Airlines,2020-07-13
14/07/2020,3.0521,9.9823,6.9302,American_Airlines,2020-07-14
15/07/2020,8.9502,2.8112,-6.139,American_Airlines,2020-07-15
16/07/2020,-1.8012,-2.5,-0.6988,American_Airlines,2020-07-16
17/07/2020,-3.4107,-4.407,-0.9964,American_Airlines,2020-07-17
20/07/2020,-3.1907,-3.4367,-0.246,American_Airlines,2020-07-20
21/07/2020,0.5616,-0.7726,-1.3342,American_Airlines,2020-07-21
22/07/2020,0.4168,-1.321,-1.7378,American_Airlines,2020-07-22
23/07/2020,5.074,2.9521,-2.1219,American_Airlines,2020-07-23
24/07/2020,-4.9545,-0.6458,4.3087,American_Airlines,2020-07-24
27/07/2020,-4.2863,-1.0574,3.2289,American_Airlines,2020-07-27
28/07/2020,-0.1536,3.7842,3.9377,American_Airlines,2020-07-28
03/02/2020,0.2968,4.2093,3.9125,Delta_Airlines,2020-02-03
05/02/2020,1.0876,1.1781,0.0906,Delta_Airlines,2020-02-05
06/02/2020,-1.2707,-2.5741,-1.3035,Delta_Airlines,2020-02-06
07/02/2020,0.784,-0.7381,-1.5222,Delta_Airlines,2020-02-07
10/02/2020,1.2439,0.9452,-0.2987,Delta_Airlines,2020-02-10
11/02/2020,1.9283,2.0327,0.1044,Delta_Airlines,2020-02-11
12/02/2020,1.3595,-0.9953,-2.3548,Delta_Airlines,2020-02-12
13/02/2020,1.7572,0.8349,-0.9223,Delta_Airlines,2020-02-13
14/02/2020,0.4914,-0.5086,-1,Delta_Airlines,2020-02-14
18/02/2020,0.6912,-0.7745,-1.4657,Delta_Airlines,2020-02-18
19/02/2020,1.1418,-0.3577,-1.4995,Delta_Airlines,2020-02-19
20/02/2020,1.3956,-6.2562,-7.6518,Delta_Airlines,2020-02-20
25/02/2020,-5.9552,-5.512,0.4432,Delta_Airlines,2020-02-25
26/02/2020,-2.7647,-10.2513,-7.4867,Delta_Airlines,2020-02-26
27/02/2020,5.4108,-0.4495,-5.8602,Delta_Airlines,2020-02-27
28/02/2020,0.1055,-0.6295,-0.735,Delta_Airlines,2020-02-28
02/03/2020,4.0688,8.3836,4.3147,Delta_Airlines,2020-03-02
03/03/2020,-5.9779,-4.6515,1.3263,Delta_Airlines,2020-03-03
04/03/2020,3.3953,-2.175,-5.5703,Delta_Airlines,2020-03-04
05/03/2020,-1.7912,-6.104,-4.3128,Delta_Airlines,2020-03-05
06/03/2020,6.52,-0.1634,-6.6833,Delta_Airlines,2020-03-06
09/03/2020,1.3981,4.3471,2.949,Delta_Airlines,2020-03-09
10/03/2020,1.0892,-2.7788,-3.8681,Delta_Airlines,2020-03-10
11/03/2020,-1.756,-13.1234,-11.3674,Delta_Airlines,2020-03-11
12/03/2020,-11.3064,0.9258,12.2322,Delta_Airlines,2020-03-12
13/03/2020,-0.5415,-15.0113,-14.4697,Delta_Airlines,2020-03-13
16/03/2020,10.4632,10.6622,0.1991,Delta_Airlines,2020-03-16
17/03/2020,-11.9537,-19.8182,-7.8644,Delta_Airlines,2020-03-17
18/03/2020,-18.7197,-21.3387,-2.6191,Delta_Airlines,2020-03-18
19/03/2020,-4.7709,0.7164,5.4873,Delta_Airlines,2020-03-19
20/03/2020,-6.4296,-6.1025,0.327,Delta_Airlines,2020-03-20
23/03/2020,4.3824,16.8137,12.4313,Delta_Airlines,2020-03-23
24/03/2020,7.3023,19.6014,12.2991,Delta_Airlines,2020-03-24
